is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
43258_Q6,S_dash bei 90percent Umsatz,17.36,dNm
43258_Q7,S_dash bei 90percent Umsatz,17.94,dNm
43258_Q8,S_dash bei 90percent Umsatz,17.51,dNm
43258_Q1,Hardness_mean_value,65.3,Shore A
43258_Q2,Hardness_mean_value,64.46,Shore A
43258_Q3,Hardness_mean_value,65.27,Shore A
43258_Q4,Hardness_mean_value,64.27,Shore A
43258_Q5,Hardness_mean_value,66.13,Shore A
43258_Q6,Hardness_mean_value,64.93,Shore A
43258_Q7,Hardness_mean_value,65.5,Shore A
43258_Q8,Hardness_mean_value,64.27,Shore A
43258_Q1,Rebound_mean_value_1,38.0,percent
43258_Q2,Rebound_mean_value_1,38.27,percent
43258_Q3,Rebound_mean_value_1,39.0,percent
43258_Q4,Rebound_mean_value_1,40.0,percent
43258_Q5,Rebound_mean_value_1,37.33,percent
43258_Q6,Rebound_mean_value_1,39.8,percent
43258_Q7,Rebound_mean_value_1,40.73,percent
43258_Q8,Rebound_mean_value_1,41.2,percent
43258_Q1,Rebound_mean_value_2,54.5,percent
43258_Q2,Rebound_mean_value_2,56.0,percent
43258_Q3,Rebound_mean_value_2,57.5,percent
43258_Q4,Rebound_mean_value_2,57.5,percent
43258_Q5,Rebound_mean_value_2,56.5,percent
43258_Q6,Rebound_mean_value_2,59.0,percent
43258_Q7,Rebound_mean_value_2,57.5,percent
43258_Q8,Rebound_mean_value_2,60.0,percent
43258_Q1,Rebound_mean_value_3,57.5,percent
43258_Q2,Rebound_mean_value_3,59.5,percent
43258_Q3,Rebound_mean_value_3,60.5,percent
43258_Q4,Rebound_mean_value_3,60.0,percent
43258_Q5,Rebound_mean_value_3,57.5,percent
43258_Q6,Rebound_mean_value_3,61.0,percent
43258_Q7,Rebound_mean_value_3,60.5,percent
43258_Q8,Rebound_mean_value_3,61.5,percent
43258_Q1,S50,1.6,MPa
43258_Q2,S50,1.6,MPa
43258_Q3,S50,1.5,MPa
43258_Q4,S50,1.4,MPa
43258_Q5,S50,1.6,MPa
43258_Q6,S50,1.5,MPa
43258_Q7,S50,1.5,MPa
43258_Q8,S50,1.4,MPa
43258_Q1,S100,3.1,MPa
43258_Q2,S100,2.9,MPa
43258_Q3,S100,2.9,MPa
43258_Q4,S100,2.8,MPa
43258_Q5,S100,2.8,MPa
43258_Q6,S100,2.8,MPa
43258_Q7,S100,2.9,MPa
43258_Q8,S100,2.7,MPa
43258_Q1,S300,14.2,MPa
43258_Q2,S300,13.6,MPa
43258_Q3,S300,14.2,MPa
43258_Q4,S300,14.4,MPa
43258_Q5,S300,13.5,MPa
43258_Q6,S300,14.6,MPa
43258_Q7,S300,14.5,MPa
43258_Q8,S300,14.1,MPa
43258_Q1,D Median,376.0,percent
43258_Q2,D Median,407.0,percent
43258_Q3,D Median,381.0,percent
43258_Q4,D Median,399.0,percent
43258_Q5,D Median,355.0,percent
43258_Q6,D Median,371.0,percent
43258_Q7,D Median,377.0,percent
43258_Q8,D Median,386.0,percent
43258_Q1,F Median,19.0,MPa
43258_Q2,F Median,20.0,MPa
43258_Q3,F Median,19.3,MPa
43258_Q4,F Median,21.1,MPa
43258_Q5,F Median,16.9,MPa
43258_Q6,F Median,19.5,MPa
43258_Q7,F Median,19.7,MPa
43258_Q8,F Median,19.9,MPa
43258_Q1,E_dash_0_degree_celcius,41.18,MPa
43258_Q2,E_dash_0_degree_celcius,34.72,MPa
43258_Q3,E_dash_0_degree_celcius,26.97,MPa
43258_Q4,E_dash_0_degree_celcius,25.26,MPa
43258_Q5,E_dash_0_degree_celcius,33.38,MPa
43258_Q6,E_dash_0_degree_celcius,30.84,MPa
43258_Q7,E_dash_0_degree_celcius,30.95,MPa
43258_Q8,E_dash_0_degree_celcius,25.97,MPa
43258_Q1,E_double_dash_0_degree_celcius,10.1,MPa
43258_Q2,E_double_dash_0_degree_celcius,8.84,MPa
43258_Q3,E_double_dash_0_degree_celcius,7.56,MPa
43258_Q4,E_double_dash_0_degree_celcius,6.83,MPa
43258_Q5,E_double_dash_0_degree_celcius,8.66,MPa
43258_Q6,E_double_dash_0_degree_celcius,8.36,MPa
43258_Q7,E_double_dash_0_degree_celcius,8.29,MPa
43258_Q8,E_double_dash_0_degree_celcius,6.96,MPa
43258_Q1,E_dash_23_degree_celcius,24.87,MPa
43258_Q2,E_dash_23_degree_celcius,20.41,MPa
43258_Q3,E_dash_23_degree_celcius,15.7,MPa
43258_Q4,E_dash_23_degree_celcius,14.92,MPa
43258_Q5,E_dash_23_degree_celcius,19.68,MPa
43258_Q6,E_dash_23_degree_celcius,17.94,MPa
43258_Q7,E_dash_23_degree_celcius,18.12,MPa
43258_Q8,E_dash_23_degree_celcius,15.34,MPa
43258_Q1,E_double_dash_23_degree_celcius,4.11,MPa
43258_Q2,E_double_dash_23_degree_celcius,3.38,MPa
43258_Q3,E_double_dash_23_degree_celcius,2.46,MPa
43258_Q4,E_double_dash_23_degree_celcius,2.32,MPa
43258_Q5,E_double_dash_23_degree_celcius,3.25,MPa
43258_Q6,E_double_dash_23_degree_celcius,2.87,MPa
43258_Q7,E_double_dash_23_degree_celcius,2.99,MPa
43258_Q8,E_double_dash_23_degree_celcius,2.38,MPa
43258_Q1,E_dash_60_degree_celcius,15.12,MPa
43258_Q2,E_dash_60_degree_celcius,12.48,MPa
43258_Q3,E_dash_60_degree_celcius,9.72,MPa
43258_Q4,E_dash_60_degree_celcius,9.31,MPa
43258_Q5,E_dash_60_degree_celcius,11.81,MPa
43258_Q6,E_dash_60_degree_celcius,10.87,MPa
43258_Q7,E_dash_60_degree_celcius,11.28,MPa
43258_Q8,E_dash_60_degree_celcius,9.55,MPa
43258_Q1,E_double_dash_60_degree_celcius,1.69,MPa
43258_Q2,E_double_dash_60_degree_celcius,1.32,MPa
43258_Q3,E_double_dash_60_degree_celcius,0.86,MPa
43258_Q4,E_double_dash_60_degree_celcius,0.8,MPa
43258_Q5,E_double_dash_60_degree_celcius,1.18,MPa
43258_Q6,E_double_dash_60_degree_celcius,1.03,MPa
43258_Q7,E_double_dash_60_degree_celcius,1.1,MPa
43258_Q8,E_double_dash_60_degree_celcius,0.84,MPa
43258_Q1,tand d max,0.555,
43258_Q2,tand d max,0.585,
43258_Q3,tand d max,0.623,
43258_Q4,tand d max,0.619,
43258_Q5,tand d max,0.587,
43258_Q6,tand d max,0.596,
43258_Q7,tand d max,0.599,
43258_Q8,tand d max,0.612,
43258_Q1,Temperatur tan d max,-27.3,[°C]
43258_Q2,Temperatur tan d max,-26.3,[°C]
43258_Q3,Temperatur tan d max,-24.3,[°C]
43258_Q4,Temperatur tan d max,-25.3,[°C]
43258_Q5,Temperatur tan d max,-26.3,[°C]
43258_Q6,Temperatur tan d max,-25.3,[°C]
43258_Q7,Temperatur tan d max,-26.2,[°C]
43258_Q8,Temperatur tan d max,-25.3,[°C]
43258_Q1,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.38,MPa
43258_Q2,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.91,MPa
43258_Q3,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.84,MPa
43258_Q4,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.06,MPa
43258_Q5,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,4.27,MPa
43258_Q6,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.29,MPa
43258_Q7,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.33,MPa
43258_Q8,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.11,MPa
43258_Q1,ElasticModulus_G_dash_15_percent_1_Messung,1.42,MPa
43258_Q2,ElasticModulus_G_dash_15_percent_1_Messung,1.51,MPa
43258_Q3,ElasticModulus_G_dash_15_percent_1_Messung,1.33,MPa
43258_Q4,ElasticModulus_G_dash_15_percent_1_Messung,1.38,MPa
43258_Q5,ElasticModulus_G_dash_15_percent_1_Messung,1.59,MPa
43258_Q6,ElasticModulus_G_dash_15_percent_1_Messung,1.42,MPa
43258_Q7,ElasticModulus_G_dash_15_percent_1_Messung,1.43,MPa
43258_Q8,ElasticModulus_G_dash_15_percent_1_Messung,1.38,MPa
43258_Q1,tan_d_7_percent_1_Messung,0.172,MPa
43258_Q2,tan_d_7_percent_1_Messung,0.177,MPa
43258_Q3,tan_d_7_percent_1_Messung,0.155,MPa
43258_Q4,tan_d_7_percent_1_Messung,0.159,MPa
43258_Q5,tan_d_7_percent_1_Messung,0.181,MPa
43258_Q6,tan_d_7_percent_1_Messung,0.167,MPa
43258_Q7,tan_d_7_percent_1_Messung,0.167,MPa
43258_Q8,tan_d_7_percent_1_Messung,0.165,MPa
43258_Q1,LossModulus_Gdouble_dash(max),0.37,MPa
43258_Q2,LossModulus_Gdouble_dash(max),0.43,MPa
43258_Q3,LossModulus_Gdouble_dash(max),0.29,MPa
43258_Q4,LossModulus_Gdouble_dash(max),0.32,MPa
43258_Q5,LossModulus_Gdouble_dash(max),0.47,MPa
43258_Q6,LossModulus_Gdouble_dash(max),0.35,MPa
43258_Q7,LossModulus_Gdouble_dash(max),0.36,MPa
43258_Q8,LossModulus_Gdouble_dash(max),0.33,MPa
43311_Q1,ML 1+1,80.93,ME
43311_Q2,ML 1+1,73.22,ME
43311_Q3,ML 1+1,81.72,ME
43311_Q4,ML 1+1,77.91,ME
43311_Q5,ML 1+1,80.39,ME
43311_Q6,ML 1+1,73.95,ME
43311_Q7,ML 1+1,76.38,ME
43311_Q8,ML 1+1,80.13,ME
43311_Q1,ML 1+4,66.94,ME
43311_Q2,ML 1+4,61.62,ME
43311_Q3,ML 1+4,68.66,ME
43311_Q4,ML 1+4,64.55,ME
43311_Q5,ML 1+4,66.42,ME
43311_Q6,ML 1+4,62.75,ME
43311_Q7,ML 1+4,64.3,ME
43311_Q8,ML 1+4,65.95,ME
43311_Q1,MSR,0.358,log(ME)/log(s)
43311_Q2,MSR,0.415,log(ME)/log(s)
43311_Q3,MSR,0.381,log(ME)/log(s)
43311_Q4,MSR,0.368,log(ME)/log(s)
43311_Q5,MSR,0.357,log(ME)/log(s)
43311_Q6,MSR,0.407,log(ME)/log(s)
43311_Q7,MSR,0.402,log(ME)/log(s)
43311_Q8,MSR,0.361,log(ME)/log(s)
43311_Q1,Umsatzzeit 90percent,788.76,[sec]
43311_Q2,Umsatzzeit 90percent,871.17,[sec]
43311_Q3,Umsatzzeit 90percent,873.36,[sec]
43311_Q4,Umsatzzeit 90percent,874.44,[sec]
43311_Q5,Umsatzzeit 90percent,857.94,[sec]
43311_Q6,Umsatzzeit 90percent,923.76,[sec]
43311_Q7,Umsatzzeit 90percent,845.04,[sec]
43311_Q8,Umsatzzeit 90percent,841.11,[sec]
43311_Q1,S_dash bei 90percent Umsatz,17.65,dNm
43311_Q2,S_dash bei 90percent Umsatz,17.03,dNm
43311_Q3,S_dash bei 90percent Umsatz,17.35,dNm
43311_Q4,S_dash bei 90percent Umsatz,16.96,dNm
43311_Q5,S_dash bei 90percent Umsatz,17.18,dNm
43311_Q6,S_dash bei 90percent Umsatz,17.14,dNm
43311_Q7,S_dash bei 90percent Umsatz,17.67,dNm
43311_Q8,S_dash bei 90percent Umsatz,17.37,dNm
43311_Q1,Massedruck_1,30.9,bar
43311_Q2,Massedruck_1,30.0,bar
43311_Q3,Massedruck_1,33.35,bar
43311_Q4,Massedruck_1,31.6,bar
43311_Q5,Massedruck_1,32.05,bar
43311_Q6,Massedruck_1,28.0,bar
43311_Q7,Massedruck_1,30.75,bar
43311_Q8,Massedruck_1,32.25,bar
43311_Q1,Massedruck_2,37.5,bar
43311_Q2,Massedruck_2,36.95,bar
43311_Q3,Massedruck_2,39.8,bar
43311_Q4,Massedruck_2,38.15,bar
43311_Q5,Massedruck_2,38.8,bar
43311_Q6,Massedruck_2,38.25,bar
43311_Q7,Massedruck_2,38.35,bar
43311_Q8,Massedruck_2,38.9,bar
43311_Q1,Quellung Hausmethode K10_1,32.29,percent
43311_Q2,Quellung Hausmethode K10_1,30.28,percent
43311_Q3,Quellung Hausmethode K10_1,32.09,percent
43311_Q4,Quellung Hausmethode K10_1,29.67,percent
43311_Q5,Quellung Hausmethode K10_1,32.49,percent
43311_Q6,Quellung Hausmethode K10_1,30.08,percent
43311_Q7,Quellung Hausmethode K10_1,30.68,percent
43311_Q8,Quellung Hausmethode K10_1,33.87,percent
43311_Q1,Quellung Hausmethode K10_2,37.18,percent
43311_Q2,Quellung Hausmethode K10_2,33.48,percent
43311_Q3,Quellung Hausmethode K10_2,36.21,percent
43311_Q4,Quellung Hausmethode K10_2,35.83,percent
43311_Q5,Quellung Hausmethode K10_2,35.44,percent
43311_Q6,Quellung Hausmethode K10_2,34.46,percent
43311_Q7,Quellung Hausmethode K10_2,35.24,percent
43311_Q8,Quellung Hausmethode K10_2,35.24,percent
43311_Q1,Masse pro Messzeit_1,10.08,g
43311_Q2,Masse pro Messzeit_1,11.1,g
43311_Q3,Masse pro Messzeit_1,10.5,g
43311_Q4,Masse pro Messzeit_1,10.58,g
43311_Q5,Masse pro Messzeit_1,10.58,g
43311_Q6,Masse pro Messzeit_1,10.84,g
43311_Q7,Masse pro Messzeit_1,11.1,g
43311_Q8,Masse pro Messzeit_1,10.56,g
43311_Q1,Masse pro Messzeit_2,35.18,g
43311_Q2,Masse pro Messzeit_2,36.4,g
43311_Q3,Masse pro Messzeit_2,35.14,g
43311_Q4,Masse pro Messzeit_2,35.7,g
43311_Q5,Masse pro Messzeit_2,36.48,g
43311_Q6,Masse pro Messzeit_2,36.66,g
43311_Q7,Masse pro Messzeit_2,36.5,g
43311_Q8,Masse pro Messzeit_2,35.78,g
43311_Q1,Hardness_mean_value,64.37,Shore A
43311_Q2,Hardness_mean_value,64.47,Shore A
43311_Q3,Hardness_mean_value,64.4,Shore A
43311_Q4,Hardness_mean_value,63.37,Shore A
43311_Q5,Hardness_mean_value,64.33,Shore A
43311_Q6,Hardness_mean_value,64.73,Shore A
43311_Q7,Hardness_mean_value,65.03,Shore A
43311_Q8,Hardness_mean_value,63.5,Shore A
43311_Q1,Rebound_mean_value_1,36.87,percent
43311_Q2,Rebound_mean_value_1,38.6,percent
43311_Q3,Rebound_mean_value_1,37.8,percent
43311_Q4,Rebound_mean_value_1,36.6,percent
43311_Q5,Rebound_mean_value_1,37.4,percent
43311_Q6,Rebound_mean_value_1,38.53,percent
43311_Q7,Rebound_mean_value_1,37.8,percent
43311_Q8,Rebound_mean_value_1,37.53,percent
43311_Q1,Rebound_mean_value_2,58.5,percent
43311_Q2,Rebound_mean_value_2,58.5,percent
43311_Q3,Rebound_mean_value_2,57.5,percent
43311_Q4,Rebound_mean_value_2,59.5,percent
43311_Q5,Rebound_mean_value_2,58.5,percent
43311_Q6,Rebound_mean_value_2,58.5,percent
43311_Q7,Rebound_mean_value_2,57.0,percent
43311_Q8,Rebound_mean_value_2,58.5,percent
43311_Q1,Rebound_mean_value_3,60.5,percent
43311_Q2,Rebound_mean_value_3,60.5,percent
43311_Q3,Rebound_mean_value_3,61.5,percent
43311_Q4,Rebound_mean_value_3,63.5,percent
43311_Q5,Rebound_mean_value_3,60.5,percent
43311_Q6,Rebound_mean_value_3,60.5,percent
43311_Q7,Rebound_mean_value_3,60.0,percent
43311_Q8,Rebound_mean_value_3,62.5,percent
43311_Q1,S50,1.4,MPa
43311_Q2,S50,1.4,MPa
43311_Q3,S50,1.3,MPa
43311_Q4,S50,1.3,MPa
43311_Q5,S50,1.3,MPa
43311_Q6,S50,1.3,MPa
43311_Q7,S50,1.3,MPa
43311_Q8,S50,1.3,MPa
43311_Q1,S100,2.5,MPa
43311_Q2,S100,2.5,MPa
43311_Q3,S100,2.4,MPa
43311_Q4,S100,2.4,MPa
43311_Q5,S100,2.5,MPa
43311_Q6,S100,2.3,MPa
43311_Q7,S100,2.4,MPa
43311_Q8,S100,2.3,MPa
43311_Q1,S300,14.2,MPa
43311_Q2,S300,13.4,MPa
43311_Q3,S300,13.8,MPa
43311_Q4,S300,14.0,MPa
43311_Q5,S300,14.6,MPa
43311_Q6,S300,12.7,MPa
43311_Q7,S300,13.4,MPa
43311_Q8,S300,13.9,MPa
43311_Q1,D Median,371.0,percent
43311_Q2,D Median,418.0,percent
43311_Q3,D Median,418.0,percent
43311_Q4,D Median,406.0,percent
43311_Q5,D Median,358.0,percent
43311_Q6,D Median,431.0,percent
43311_Q7,D Median,407.0,percent
43311_Q8,D Median,406.0,percent
43311_Q1,F Median,19.1,MPa
43311_Q2,F Median,20.9,MPa
43311_Q3,F Median,21.4,MPa
43311_Q4,F Median,21.4,MPa
43311_Q5,F Median,18.6,MPa
43311_Q6,F Median,20.7,MPa
43311_Q7,F Median,20.0,MPa
43311_Q8,F Median,21.4,MPa
43311_Q1,E_dash_0_degree_celcius,27.29,MPa
43311_Q2,E_dash_0_degree_celcius,26.99,MPa
43311_Q3,E_dash_0_degree_celcius,25.86,MPa
43311_Q4,E_dash_0_degree_celcius,23.19,MPa
43311_Q5,E_dash_0_degree_celcius,24.68,MPa
43311_Q6,E_dash_0_degree_celcius,24.57,MPa
43311_Q7,E_dash_0_degree_celcius,27.36,MPa
43311_Q8,E_dash_0_degree_celcius,27.12,MPa
43311_Q1,E_double_dash_0_degree_celcius,8.3,MPa
43311_Q2,E_double_dash_0_degree_celcius,7.09,MPa
43311_Q3,E_double_dash_0_degree_celcius,7.36,MPa
43311_Q4,E_double_dash_0_degree_celcius,7.33,MPa
43311_Q5,E_double_dash_0_degree_celcius,7.49,MPa
43311_Q6,E_double_dash_0_degree_celcius,6.86,MPa
43311_Q7,E_double_dash_0_degree_celcius,7.96,MPa
43311_Q8,E_double_dash_0_degree_celcius,8.19,MPa
43311_Q1,E_dash_23_degree_celcius,15.16,MPa
43311_Q2,E_dash_23_degree_celcius,15.69,MPa
43311_Q3,E_dash_23_degree_celcius,14.73,MPa
43311_Q4,E_dash_23_degree_celcius,12.78,MPa
43311_Q5,E_dash_23_degree_celcius,13.79,MPa
43311_Q6,E_dash_23_degree_celcius,14.36,MPa
43311_Q7,E_dash_23_degree_celcius,15.52,MPa
43311_Q8,E_dash_23_degree_celcius,15.04,MPa
43311_Q1,E_double_dash_23_degree_celcius,2.55,MPa
43311_Q2,E_double_dash_23_degree_celcius,2.47,MPa
43311_Q3,E_double_dash_23_degree_celcius,2.39,MPa
43311_Q4,E_double_dash_23_degree_celcius,2.13,MPa
43311_Q5,E_double_dash_23_degree_celcius,2.26,MPa
43311_Q6,E_double_dash_23_degree_celcius,2.3,MPa
43311_Q7,E_double_dash_23_degree_celcius,2.61,MPa
43311_Q8,E_double_dash_23_degree_celcius,2.54,MPa
43311_Q1,E_dash_60_degree_celcius,9.44,MPa
43311_Q2,E_dash_60_degree_celcius,9.81,MPa
43311_Q3,E_dash_60_degree_celcius,9.23,MPa
43311_Q4,E_dash_60_degree_celcius,8.11,MPa
43311_Q5,E_dash_60_degree_celcius,8.51,MPa
43311_Q6,E_dash_60_degree_celcius,8.96,MPa
43311_Q7,E_dash_60_degree_celcius,9.88,MPa
43311_Q8,E_dash_60_degree_celcius,9.49,MPa
43311_Q1,E_double_dash_60_degree_celcius,0.87,MPa
43311_Q2,E_double_dash_60_degree_celcius,0.9,MPa
43311_Q3,E_double_dash_60_degree_celcius,0.8,MPa
43311_Q4,E_double_dash_60_degree_celcius,0.69,MPa
43311_Q5,E_double_dash_60_degree_celcius,0.76,MPa
43311_Q6,E_double_dash_60_degree_celcius,0.82,MPa
43311_Q7,E_double_dash_60_degree_celcius,0.96,MPa
43311_Q8,E_double_dash_60_degree_celcius,0.86,MPa
43311_Q1,tand d max,0.622,
43311_Q2,tand d max,0.59,
43311_Q3,tand d max,0.599,
43311_Q4,tand d max,0.64,
43311_Q5,tand d max,0.625,
43311_Q6,tand d max,0.621,
43311_Q7,tand d max,0.594,
43311_Q8,tand d max,0.602,
43311_Q1,Temperatur tan d max,-23.2,[°C]
43311_Q2,Temperatur tan d max,-26.2,[°C]
43311_Q3,Temperatur tan d max,-24.3,[°C]
43311_Q4,Temperatur tan d max,-22.2,[°C]
43311_Q5,Temperatur tan d max,-23.3,[°C]
43311_Q6,Temperatur tan d max,-25.2,[°C]
43311_Q7,Temperatur tan d max,-24.3,[°C]
43311_Q8,Temperatur tan d max,-22.3,[°C]
43311_Q1,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.69,MPa
43311_Q2,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.94,MPa
43311_Q3,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.32,MPa
43311_Q4,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.63,MPa
43311_Q5,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,2.62,MPa
43311_Q6,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.0,MPa
43311_Q7,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.36,MPa
43311_Q8,ElasticModulus_G_dash_zero_point_five_percent_1_Messung,3.01,MPa
43311_Q1,ElasticModulus_G_dash_15_percent_1_Messung,1.3,MPa
43311_Q2,ElasticModulus_G_dash_15_percent_1_Messung,1.29,MPa
43311_Q3,ElasticModulus_G_dash_15_percent_1_Messung,1.36,MPa
43311_Q4,ElasticModulus_G_dash_15_percent_1_Messung,1.24,MPa
43311_Q5,ElasticModulus_G_dash_15_percent_1_Messung,1.26,MPa
43311_Q6,ElasticModulus_G_dash_15_percent_1_Messung,1.29,MPa
43311_Q7,ElasticModulus_G_dash_15_percent_1_Messung,1.38,MPa
43311_Q8,ElasticModulus_G_dash_15_percent_1_Messung,1.34,MPa
43311_Q1,tan_d_7_percent_1_Messung,0.147,MPa
43311_Q2,tan_d_7_percent_1_Messung,0.158,MPa
43311_Q3,tan_d_7_percent_1_Messung,0.163,MPa
43311_Q4,tan_d_7_percent_1_Messung,0.151,MPa
43311_Q5,tan_d_7_percent_1_Messung,0.152,MPa
43311_Q6,tan_d_7_percent_1_Messung,0.168,MPa
43311_Q7,tan_d_7_percent_1_Messung,0.164,MPa
43311_Q8,tan_d_7_percent_1_Messung,0.16,MPa
43311_Q1,LossModulus_Gdouble_dash(max),0.27,MPa
43311_Q2,LossModulus_Gdouble_dash(max),0.31,MPa
43311_Q3,LossModulus_Gdouble_dash(max),0.36,MPa
43311_Q4,LossModulus_Gdouble_dash(max),0.28,MPa
43311_Q5,LossModulus_Gdouble_dash(max),0.28,MPa
43311_Q6,LossModulus_Gdouble_dash(max),0.34,MPa
43311_Q7,LossModulus_Gdouble_dash(max),0.37,MPa
43311_Q8,LossModulus_Gdouble_dash(max),0.33,MPa
43434_Q1,ML 1+1,80.09,ME
43434_Q2,ML 1+1,76.48,ME
43434_Q3,ML 1+1,78.02,ME
43434_Q4,ML 1+1,77.8,ME
43434_Q5,ML 1+1,78.72,ME
43434_Q6,ML 1+1,79.17,ME
43434_Q7,ML 1+1,79.66,ME
43434_Q8,ML 1+1,81.49,ME
43434_Q1,ML 1+4,67.66,ME
43434_Q2,ML 1+4,64.98,ME
43434_Q3,ML 1+4,65.7,ME
43434_Q4,ML 1+4,65.13,ME
43434_Q5,ML 1+4,65.84,ME
43434_Q6,ML 1+4,65.63,ME
43434_Q7,ML 1+4,66.63,ME
43434_Q8,ML 1+4,67.75,ME
43434_Q1,MSR,0.362,log(ME)/log(s)
43434_Q2,MSR,0.374,log(ME)/log(s)
43434_Q3,MSR,0.371,log(ME)/log(s)
43434_Q4,MSR,0.372,log(ME)/log(s)
43434_Q5,MSR,0.367,log(ME)/log(s)
43434_Q6,MSR,0.367,log(ME)/log(s)
43434_Q7,MSR,0.364,log(ME)/log(s)
43434_Q8,MSR,0.359,log(ME)/log(s)
43434_Q1,Umsatzzeit 90percent,1051.59,[sec]
43434_Q2,Umsatzzeit 90percent,1009.86,[sec]
43434_Q3,Umsatzzeit 90percent,990.36,[sec]
43434_Q4,Umsatzzeit 90percent,984.84,[sec]
43434_Q5,Umsatzzeit 90percent,1030.2,[sec]
43434_Q6,Umsatzzeit 90percent,1030.68,[sec]
43434_Q7,Umsatzzeit 90percent,1197.72,[sec]
43434_Q8,Umsatzzeit 90percent,963.54,[sec]
43434_Q1,S_dash bei 90percent Umsatz,16.54,dNm
43434_Q2,S_dash bei 90percent Umsatz,16.74,dNm
43434_Q3,S_dash bei 90percent Umsatz,16.93,dNm
43434_Q4,S_dash bei 90percent Umsatz,16.76,dNm
43434_Q5,S_dash bei 90percent Umsatz,17.14,dNm
43434_Q6,S_dash bei 90percent Umsatz,16.59,dNm
43434_Q7,S_dash bei 90percent Umsatz,16.24,dNm
43434_Q8,S_dash bei 90percent Umsatz,17.06,dNm
43434_Q1,Hardness_mean_value,64.47,Shore A
43434_Q2,Hardness_mean_value,63.77,Shore A
43434_Q3,Hardness_mean_value,63.5,Shore A
43434_Q4,Hardness_mean_value,64.67,Shore A
43434_Q5,Hardness_mean_value,64.3,Shore A
43434_Q6,Hardness_mean_value,63.6,Shore A
43434_Q7,Hardness_mean_value,63.37,Shore A
43434_Q8,Hardness_mean_value,63.43,Shore A
43434_Q1,Rebound_mean_value_1,36.6,percent
43434_Q2,Rebound_mean_value_1,35.8,percent
43434_Q3,Rebound_mean_value_1,34.93,percent
43434_Q4,Rebound_mean_value_1,35.67,percent
43434_Q5,Rebound_mean_value_1,35.4,percent
43434_Q6,Rebound_mean_value_1,35.8,percent
43434_Q7,Rebound_mean_value_1,36.2,percent
43434_Q8,Rebound_mean_value_1,36.53,percent
43434_Q1,Rebound_mean_value_2,58.5,percent
43434_Q2,Rebound_mean_value_2,60.0,percent
43434_Q3,Rebound_mean_value_2,60.5,percent
43434_Q4,Rebound_mean_value_2,60.0,percent
43434_Q5,Rebound_mean_value_2,60.0,percent
43434_Q6,Rebound_mean_value_2,60.5,percent
43434_Q7,Rebound_mean_value_2,59.5,percent
43434_Q8,Rebound_mean_value_2,59.5,percent
43434_Q1,Rebound_mean_value_3,62.5,percent
43434_Q2,Rebound_mean_value_3,63.0,percent
43434_Q3,Rebound_mean_value_3,62.5,percent
43434_Q4,Rebound_mean_value_3,61.5,percent
43434_Q5,Rebound_mean_value_3,63.0,percent
43434_Q6,Rebound_mean_value_3,63.5,percent
43434_Q7,Rebound_mean_value_3,61.5,percent
43434_Q8,Rebound_mean_value_3,62.0,percent
43434_Q1,S50,1.4,MPa
43434_Q2,S50,1.4,MPa
43434_Q3,S50,1.4,MPa
43434_Q4,S50,1.4,MPa
43434_Q5,S50,1.4,MPa
43434_Q6,S50,1.4,MPa
43434_Q7,S50,1.5,MPa
43434_Q8,S50,1.4,MPa
43434_Q1,S100,2.6,MPa
43434_Q2,S100,2.7,MPa
43434_Q3,S100,2.7,MPa
43434_Q4,S100,2.7,MPa
43434_Q5,S100,2.6,MPa
43434_Q6,S100,2.6,MPa
43434_Q7,S100,2.7,MPa
43434_Q8,S100,2.7,MPa
43434_Q1,S300,15.6,MPa
43434_Q2,S300,15.7,MPa
43434_Q3,S300,15.4,MPa
43434_Q4,S300,15.4,MPa
43434_Q5,S300,15.1,MPa
43434_Q6,S300,15.3,MPa
43434_Q7,S300,14.9,MPa
43434_Q8,S300,15.3,MPa
43434_Q1,D Median,334.0,percent
43434_Q2,D Median,363.0,percent
43434_Q3,D Median,359.0,percent
43434_Q4,D Median,345.0,percent
43434_Q5,D Median,357.0,percent
43434_Q6,D Median,329.0,percent
43434_Q7,D Median,348.0,percent
43434_Q8,D Median,348.0,percent
43434_Q1,F Median,18.6,MPa
43434_Q2,F Median,20.8,MPa
43434_Q3,F Median,19.9,MPa
43434_Q4,F Median,18.5,MPa
43434_Q5,F Median,19.6,MPa
43434_Q6,F Median,17.7,MPa
43434_Q7,F Median,18.2,MPa
